구별,소계,최근증가율,총생활인구수,내국인생활인구수,외국인인구수,외국인비율,CCTV비율,오차
강남구,3238,150.61919504643964,760497.7132,721692.3961,38805.3171,5.102621142240668,0.4257737983688653,1209.4020229463595
양천구,2482,34.67173087357569,391505.9752,384959.8795,6546.0957,1.6720295767276454,0.6339622272002555,1038.3732759493969
송파구,1081,104.34782608695652,777950.8457,755909.5241,22041.3217,2.8332537745578548,0.13895479463452687,975.2668371823002
강서구,911,134.7938144329897,542124.6835,524045.4839,18079.1996,3.3348785160047036,0.1680425237453701,771.4060934682186
용산구,2096,53.216374269005854,328588.0248,292204.4107,36383.6141,11.072714570820231,0.6378808239514393,752.1185777855887
마포구,980,212.1019108280255,512424.3906,465915.9106,46508.479999999996,9.076164377254372,0.19124772707491805,655.3215228313816
광진구,878,53.22862129144852,411004.2876,383668.1843,27336.1033,6.651050639793861,0.21362307559537977,596.5378558225361
은평구,2108,85.23725834797891,444184.9587,435707.2315,8477.7272,1.9086029443256787,0.47457707846963165,580.8600483851492
서초구,2297,63.37126600284495,572327.5588,549086.6532,23240.9057,4.060769980870612,0.4013435950587672,566.712580233534
강동구,1010,166.49076517150397,475280.5033,464649.7371,10630.7662,2.236735175583206,0.21250608703435112,566.4364474823919
중랑구,916,79.96070726915521,365725.3673,358970.1932,6755.174099999999,1.8470619497549956,0.25046116072353725,486.7561219385225
관악구,2109,149.29078014184398,512413.9168,489087.3625,23326.5543,4.552287425305152,0.41158132729309976,473.6950815293094
강북구,831,125.20325203252031,299338.6415,293780.6827,5557.9587,1.8567461494943678,0.2776120035274497,466.51168913771266
도봉구,825,246.6386554621849,284822.3949,281519.3509,3303.0440000000003,1.1596854949413953,0.28965418968886003,449.49874307954633
동대문구,1870,74.76635514018692,386709.6393,357535.662,29173.9773,7.544155701111845,0.48356694790048904,433.97701969838704
구로구,1884,64.97373029772329,398156.8078,368557.3249,29599.483,7.434127062538701,0.47318040608421813,429.8295551045269
중구,1023,147.6997578692494,323107.0596,246587.2994,76519.76019999999,23.68247858611629,0.31661332354249805,312.19231958547925
영등포구,1277,157.97979797979798,473693.2467,430166.8059,43526.4409,9.188740013337412,0.2695837462104988,296.9201323822981
종로구,1619,248.92241379310346,322311.5695,286956.088,35355.4815,10.969349178140503,0.5023089932860756,285.0687895197566
서대문구,1254,48.5781990521327,397476.276,360364.3289,37111.947100000005,9.336896147230684,0.31549052754031537,199.09158187834396
금천구,1348,100.0,213265.8801,196418.1323,16847.7478,7.899879620734512,0.6320748538715734,186.94147742502878
동작구,1302,139.33823529411765,415199.2771,395683.3563,19515.9209,4.70037448916358,0.3135843610070679,179.1882710254631
성북구,1651,63.62735381565907,447519.6577,428347.5186,19172.139099999997,4.284088703172065,0.3689223415313673,118.57347188077779
노원구,1566,188.929889298893,515927.8329,509566.6288,6361.2042,1.2329639523892413,0.3035308235257645,74.87561204531085
성동구,1327,81.78082191780823,346670.928,328363.4271,18307.501,5.2809449888454445,0.3827837562427502,45.548672598311896
